Acetazolamide, Topiramate
Acetaminophen, Alcohol
Allopurinol, Azathioprine
Amiodarone, Azithromycin
Amiodarone, Clarithromycin
Amiodarone, Levofloxacin
Amiodarone, Sotalol
Amitriptyline, Linezolid
Amlodipine, Clarithromycin
Apixaban, Aspirin
Apixaban, Ibuprofen
Apixaban, Naproxen
Aspirin, Clopidogrel
Aspirin, Dabigatran
Aspirin, Warfarin
Atorvastatin, Clarithromycin
Atorvastatin, Erythromycin
Atorvastatin, Gemfibrozil
Atorvastatin, Ritonavir
Azathioprine, Mercaptopurine
Azithromycin, Haloperidol
Azithromycin, Methadone
Azithromycin, Quetiapine
Azithromycin, Sotalol
Baclofen, Diazepam
Baclofen, Oxycodone
Benzodiazepines, Alcohol
Benzodiazepines, Opioids
Bisoprolol, Verapamil
Bupropion, Tramadol
Bupropion, Venlafaxine
Carbamazepine, Oral contraceptives
Ciprofloxacin, Glimepiride
Ciprofloxacin, Glyburide
Ciprofloxacin, Tizanidine
Citalopram, Ondansetron
Clarithromycin, Colchicine
Clarithromycin, Digoxin
Clarithromycin, Quetiapine
Clarithromycin, Simvastatin
Clonidine, Tricyclic antidepressants
Clopidogrel, Omeprazole
Clozapine, Ciprofloxacin
Dabigatran, Ibuprofen
Dabigatran, Naproxen
Diazepam, Morphine
Diazepam, Zolpidem
Diclofenac, Losartan
Digoxin, Furosemide
Digoxin, Hydrochlorothiazide
Diltiazem, Metoprolol
Diphenhydramine, Alprazolam
Diphenhydramine, Oxycodone
Escitalopram, Methadone
Erythromycin, Haloperidol
Erythromycin, Quetiapine
Erythromycin, Simvastatin
Ezetimibe, Cyclosporine
Fentanyl, Alprazolam
Fentanyl, Diazepam
Fluconazole, Warfarin
Fluoxetine, Tramadol
Fluvoxamine, Clozapine
Gentamicin, Furosemide
Gentamicin, Vancomycin
Glyburide, Ciprofloxacin
Glyburide, Clarithromycin
Glyburide, Levofloxacin
Grapefruit juice, Atorvastatin
Grapefruit juice, Felodipine
Grapefruit juice, Simvastatin
Haloperidol, Levofloxacin
Haloperidol, Methadone
Haloperidol, Ondansetron
Haloperidol, Quetiapine
Hydrochlorothiazide, Digoxin
Ibuprofen, Lisinopril
Ibuprofen, Losartan
Ibuprofen, Warfarin
Imipramine, Linezolid
Insulin, Glimepiride
Insulin, Glyburide
Insulin, Propranolol
Isoniazid, Rifampin
Itraconazole, Simvastatin
Ketoconazole, Midazolam
Ketoconazole, Simvastatin
Ketorolac, Warfarin
Levofloxacin, Amiodarone
Levofloxacin, Escitalopram
Levofloxacin, Methadone
Levofloxacin, Sotalol
Linezolid, Sertraline
Linezolid, Tramadol
Linezolid, Venlafaxine
Lithium, Ibuprofen
Lithium, Lisinopril
Lithium, Sertraline

Loperamide, Citalopram
Loperamide, Fluconazole
Lopinavir, Simvastatin
Losartan, Potassium supplements
MAOI, Dextromethorphan
MAOI, Meperidine
MAOI, Pseudoephedrine
MAOI, Sertraline
MAOI, Tramadol
Metformin, Contrast dye
Methadone, Escitalopram
Methadone, Fluoxetine
Methadone, Ondansetron
Methotrexate, NSAIDs
Metoclopramide, Haloperidol
Midazolam, Ritonavir
Midazolam, Voriconazole
Morphine, Diazepam
Naproxen, Warfarin
Nefazodone, Simvastatin
Nitroglycerin, Sildenafil
Nortriptyline, Linezolid
Omeprazole, Clopidogrel
Ondansetron, Escitalopram
Ondansetron, Quetiapine
Oxycodone, Alcohol
Oxycodone, Alprazolam
Oxycodone, Gabapentin
Paracetamol, Alcohol
Phenelzine, Dextromethorphan
Phenelzine, Tramadol
Phenytoin, Warfarin
Pioglitazone, Insulin
Potassium chloride, Spironolactone
Prednisone, Ibuprofen
Propranolol, Timolol
Quetiapine, Fluconazole
Quetiapine, Voriconazole
Rifampin, Oral contraceptives
Rifampin, Warfarin
Ritonavir, Simvastatin
Rivaroxaban, Aspirin
Rivaroxaban, Naproxen
Rivaroxaban, Warfarin
Rosuvastatin, Gemfibrozil

Sertraline, Tramadol
Sildenafil, Nitroglycerin
Simvastatin, Clarithromycin
Simvastatin, Erythromycin
Simvastatin, Gemfibrozil
Simvastatin, Ritonavir
Spironolactone, Lisinopril
Spironolactone, Potassium supplements
Tadalafil, Nitroglycerin
Theophylline, Ciprofloxacin
Theophylline, Erythromycin
Tizanidine, Ciprofloxacin
Topiramate, Acetazolamide
Tramadol, Fluoxetine
Tranylcypromine, Pseudoephedrine
Valproate, Topiramate
Verapamil, Metoprolol
Voriconazole, Tacrolimus
Warfarin, Aspirin
Warfarin, Clarithromycin
Warfarin, Fluconazole
Warfarin, Metronidazole
Warfarin, TMP-SMX
Zolpidem, Diazepam
Zolpidem, Oxycodone


